Date,Open,High,Low,Close,Adj Close,Volume
2015-01-13,103.610001,104.989998,101.839996,102.720001,99.395592,459200
2015-01-14,101.849998,102.620003,101.099998,102.099998,98.795662,496500
2015-01-15,102.510002,102.650002,100.430000,100.540001,97.286148,427500
2015-01-16,100.250000,101.650002,100.129997,101.529999,98.244110,478700
2015-01-20,102.180000,102.550003,101.000000,102.290001,98.979515,781800
2015-01-21,101.930000,103.019997,101.459999,102.480003,99.163376,345800
2015-01-22,102.970001,104.500000,101.949997,104.419998,101.040565,580200
2015-01-23,104.370003,105.120003,104.089996,104.709999,101.321182,493100
2015-01-26,104.709999,104.709999,103.940002,104.400002,101.021225,415900
2015-01-27,102.699997,102.699997,100.879997,101.379997,98.098969,606000
2015-01-28,103.250000,103.440002,101.209999,101.239998,97.963493,482200
2015-01-29,101.160004,102.400002,100.360001,102.230003,98.921448,691000
2015-01-30,101.860001,102.519997,100.690002,100.809998,97.547401,425500
2015-02-02,101.000000,101.769997,99.419998,101.690002,98.398933,3656600
2015-02-03,102.010002,102.989998,101.820000,102.949997,99.618149,462800
2015-02-04,102.959999,103.800003,102.849998,103.110001,99.772980,404900
2015-02-05,103.660004,104.199997,103.330002,104.160004,100.789001,335500
2015-02-06,104.489998,104.779999,103.430000,103.739998,100.382584,365700
2015-02-09,103.459999,104.010002,103.330002,103.500000,100.150352,316900
2015-02-10,104.300003,105.190002,103.830002,105.059998,101.659866,323400
2015-02-11,105.180000,105.750000,105.000000,105.500000,102.085617,278600
2015-02-12,106.339996,107.220001,106.290001,107.169998,103.701553,337500
2015-02-13,107.589996,108.040001,107.279999,108.040001,104.543411,310300
2015-02-17,108.059998,108.180000,107.750000,108.089996,104.591797,317500
2015-02-18,108.000000,108.320000,107.800003,108.290001,104.785332,255700
2015-02-19,108.110001,108.809998,107.980003,108.720001,105.201416,231300
2015-02-20,108.800003,109.449997,108.190002,109.410004,105.869080,253400
2015-02-23,109.370003,109.410004,108.809998,109.410004,105.869080,359400
2015-02-24,109.419998,109.860001,108.820000,109.680000,106.130348,305200
2015-02-25,109.480003,109.540001,108.830002,109.120003,105.588478,355300
2015-02-26,109.349998,109.860001,109.129997,109.790001,106.236794,342800
2015-02-27,109.779999,109.860001,109.120003,109.209999,105.675552,818900
2015-03-02,109.330002,110.290001,109.220001,110.239998,106.672211,546700
2015-03-03,110.050003,110.050003,108.940002,109.389999,105.849731,389400
2015-03-04,109.120003,109.230003,108.370003,109.019997,105.491684,1405200
2015-03-05,109.010002,109.300003,108.589996,108.980003,105.453003,342300
2015-03-06,109.080002,109.150002,107.540001,107.750000,104.262810,342600
2015-03-09,108.139999,108.639999,107.739998,108.199997,104.698227,328000
2015-03-10,107.480003,107.529999,106.029999,106.059998,102.627487,393600
2015-03-11,106.120003,106.379997,105.379997,105.480003,102.066277,351900
2015-03-12,105.230003,106.160004,105.120003,106.110001,102.675888,363600
2015-03-13,105.900002,106.220001,104.930000,105.570000,102.153358,283100
2015-03-16,105.879997,106.860001,105.800003,106.839996,103.382248,331500
2015-03-17,106.690002,107.150002,106.370003,106.949997,103.488693,268200
2015-03-18,106.739998,108.650002,106.389999,108.239998,104.736954,239800
2015-03-19,108.209999,108.510002,108.000000,108.150002,104.649857,273100
2015-03-20,108.610001,109.279999,108.599998,108.769997,105.249786,338000
2015-03-23,108.849998,109.300003,108.800003,108.800003,105.278831,252500
2015-03-24,108.949997,109.180000,108.440002,108.500000,104.988525,330300
2015-03-25,108.489998,108.529999,105.500000,105.519997,102.104973,352000
2015-03-26,104.889999,106.019997,104.339996,105.589996,102.172722,411000
2015-03-27,105.559998,106.099998,105.089996,105.849998,102.424294,263900
2015-03-30,106.580002,107.139999,106.489998,107.050003,103.585464,445500
2015-03-31,106.720001,109.860001,106.010002,106.519997,103.072609,1033400
2015-04-01,106.099998,106.169998,105.040001,105.669998,102.250122,470000
2015-04-02,105.750000,106.160004,105.470001,105.660004,102.240433,537900
2015-04-06,105.660004,106.839996,104.720001,106.650002,103.198395,296300
2015-04-07,106.550003,107.360001,106.529999,106.529999,103.082283,410600
2015-04-08,106.099998,107.220001,106.099998,106.910004,103.449997,234800
2015-04-09,106.900002,107.410004,106.419998,107.349998,103.875755,233100
2015-04-10,107.220001,107.820000,107.070000,107.820000,104.330536,174700
2015-04-13,107.820000,108.320000,107.320000,107.370003,103.895103,267600
2015-04-14,107.720001,107.720001,106.400002,106.980003,103.517738,322800
2015-04-15,107.300003,108.250000,107.220001,107.949997,104.456322,320000
2015-04-16,107.669998,107.980003,107.470001,107.730003,104.243454,260800
2015-04-17,107.000000,107.000000,105.730003,106.080002,102.646851,280400
2015-04-20,106.599998,107.970001,106.599998,107.809998,104.320854,301700
2015-04-21,108.349998,108.570000,107.820000,107.900002,104.407951,215500
2015-04-22,108.190002,109.080002,107.680000,108.940002,105.414284,256900
2015-04-23,108.540001,109.610001,108.430000,109.199997,105.665871,238300
2015-04-24,110.169998,110.199997,109.389999,109.820000,106.265808,253200
2015-04-27,110.110001,110.699997,109.809998,110.070000,106.507729,601000
2015-04-28,110.300003,110.709999,109.190002,110.190002,106.623840,237600
2015-04-29,109.599998,110.230003,108.919998,109.680000,106.130348,226900
2015-04-30,109.099998,109.330002,107.510002,107.889999,104.398270,226700
2015-05-01,108.250000,109.269997,108.160004,109.269997,105.733612,291100
